time,user_name,user_color,message
30,mr_dsupreme_027,#2E8B57,"neuroOnline"
31,tiredchia,,"neuroOnline"
31,valproh231,#FF69B4,"FlowerCatJAM"
31,kiftikobra_4,#8A2BE2,"MyHonestReaction vedal987 do a new title"
31,guroo_,#0000FF,"NeuroLaughingAtYou ved"
32,t_lia1,#FF69B4,"neuroOnline"
33,xuhod,#00FF7F,"neuroOnline"
33,anmoljacob,#00FF7F,"neuroOnline nu"
34,clone63,#FFAEF4,"nu"
34,dote305,,"vedalWave vedalEvilWave"
34,stany_d,#FF4500,"FlowerCatJAM"
34,hamlee24,#FF0000,"neuroOnline"
34,niochacz4,#00FF7F,"Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM"
35,ivitov2,#24ECEC,"nu"
38,spaceworlds,#4580FF,"@vedal987 SCHIZO 5 same songs"
39,odian_,#047968,"odian_ subscribed at Tier 1. They've subscribed for 25 months! "
39,psyduck6363,#DAA520,"neuroOnline"
39,nobletrash38,#9ACD32,"neuroOnline"
39,caracal_crusader,#00FF7F,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer"
39,t_lia1,#FF69B4,"nu"
40,squibbldibb,#DAA520,"neuroOnline"
40,jim_jam_devourer_of_gods,#FF69B4,"jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM jah EDM"
40,stonecrusher5000,#FF0000,"neuroOnline"
40,cercyonchronos,#DAA520,"CercyonChronos subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! 12 Months of Neuro LETSGO"
