time,user_name,user_color,message,is_meaningful
24,isaiah_not_isaac_,#FF0000,"isaiah_not_isaac_ subscribed at Tier 1. They've subscribed for 30 months, currently on a 30 month streak! 30 bajillion years",True
29,rachinova,#FF0000,"Rachinova subscribed at Tier 3. They've subscribed for 29 months, currently on a 29 month streak! pogs",True
39,anakhronos,#FF4500,Anakhronos subscribed at Tier 1. They've subscribed for 26 months! YAY,True
41,komadant_khote,#B22222,JAPAN WITH EVIL LETS GO creOMEGALUL creOMEGALUL creOMEGALUL,True
53,tyvi0_0,#FFBBE4,"tyvi0_0 subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! YAYYY",True
57,lakhafas,#FF4500,lakhafas subscribed at Tier 1. They've subscribed for 5 months! vedalWave vedalWave vedalWave,True
58,gamer_animations900,#2E8B57,Gamer_animations900 subscribed at Tier 1. They've subscribed for 7 months! Hello vedalWave vedalWave vedalWave vedalWave,True
68,alonnetzer,#00FF7F,dude I can’t be up this late come on what are these hours…,True
78,giantmember,#0000FF,Hey Vedal. Any possibility we could use the incredible power of the swarm to fix some of the insane crap going on in the world?,True
89,niochacz4,#00FF7F,Niochacz4 subscribed with Prime. They've subscribed for 7 months! ,True
89,odinnii,#0000FF,"Odinnii subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! vedalEvilCheer vedalEvil vedalEvilCheer vedalEvil vedalEvilCheer vedalEvil vedalEvilCheer",True
104,alduwinsbane,#2E8B57,"alduwinsbane subscribed at Tier 1. They've subscribed for 7 months, currently on a 6 month streak! neuroYay",True
108,abreu_416,#FF0000,mosquitoSpin 987 EDMmosquitoSpin 987 EDMmosquitoSpin 987 EDMmosquitoSpin 987 EDM,True
115,thandor01,#1E90FF,Thandor01 subscribed at Tier 1. They've subscribed for 3 months! ,True
121,failerko,#FF69B4,"failerko subscribed with Prime. They've subscribed for 4 months, currently on a 3 month streak! ",True
125,wallsiguess,#0000FF,vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer 2am stream,True
126,wee_man135,#DAA520,LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS LOL  PRETENDING LIKE WE WOULDN'T BE AWAKE AT THIS TIME ANYWAYS,True
128,neural_sama,#FF69B4,MercyWing1 evilJam MercyWing2 EDM MercyWing1 evilJam MercyWing2 EDM MercyWing1 evilJam MercyWing2 EDM,True
135,squiddinx,#5F9EA0,vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalDance,True
